utc_iso,session_id,harmony_version,harmony_profile,quality_gate,temporal_dwell,map_id_check,recovery_fsm,adaptive_guidance,elapsed_s,event,from_state,to_state,source,destination,latitude,longitude,gps_accuracy_m,campus_x,campus_y,campus_z,map_x,map_y,map_z,vps_attempt,note,scenario_id
2026-09-20T13:00:00.0000000Z,20260920_130000_241_BQ_GPS_TO_VPS_NORMAL_DEV_4032,BQ,Quality-Threshold Baseline,1,0,0,0,0,0.0,trial_started,,,Gps,B9-104,,,,,,,,,,,auto=True,KB29
2026-09-20T13:00:15.0000000Z,20260920_130000_241_BQ_GPS_TO_VPS_NORMAL_DEV_4032,BQ,Quality-Threshold Baseline,1,0,0,0,0,15.0,transition_step_checkpoint,,,Gps,B9-104,,,,,,,,,,,periodic navigation checkpoint,KB29
2026-09-20T13:00:30.0000000Z,20260920_130000_241_BQ_GPS_TO_VPS_NORMAL_DEV_4032,BQ,Quality-Threshold Baseline,1,0,0,0,0,30.0,transition_step_checkpoint,,,Gps,B9-104,,,,,,,,,,,periodic navigation checkpoint,KB29
2026-09-20T13:00:45.0000000Z,20260920_130000_241_BQ_GPS_TO_VPS_NORMAL_DEV_4032,BQ,Quality-Threshold Baseline,1,0,0,0,0,45.0,transition_step_checkpoint,,,Gps,B9-104,,,,,,,,,,,periodic navigation checkpoint,KB29
2026-09-20T13:01:00.0000000Z,20260920_130000_241_BQ_GPS_TO_VPS_NORMAL_DEV_4032,BQ,Quality-Threshold Baseline,1,0,0,0,0,60.0,transition_step_checkpoint,,,Gps,B9-104,,,,,,,,,,,periodic navigation checkpoint,KB29
2026-09-20T13:01:15.0000000Z,20260920_130000_241_BQ_GPS_TO_VPS_NORMAL_DEV_4032,BQ,Quality-Threshold Baseline,1,0,0,0,0,75.0,transition_step_checkpoint,,,Gps,B9-104,,,,,,,,,,,periodic navigation checkpoint,KB29
2026-09-20T13:01:30.0000000Z,20260920_130000_241_BQ_GPS_TO_VPS_NORMAL_DEV_4032,BQ,Quality-Threshold Baseline,1,0,0,0,0,90.0,transition_step_checkpoint,,,Gps,B9-104,,,,,,,,,,,periodic navigation checkpoint,KB29
2026-09-20T13:01:42.3060000Z,20260920_130000_241_BQ_GPS_TO_VPS_NORMAL_DEV_4032,BQ,Quality-Threshold Baseline,1,0,0,0,0,102.306,reliability_state,OutdoorGps,EnteringWithPdr,Pdr,B9-104,,,,,,,,,,,entered outer B9 volume; GPS correction frozen,KB29
2026-09-20T13:01:44.3120000Z,20260920_130000_241_BQ_GPS_TO_VPS_NORMAL_DEV_4032,BQ,Quality-Threshold Baseline,1,0,0,0,0,104.312,transition_step_checkpoint,,,Pdr,B9-104,,,,,,,,,,,step=3,KB29
2026-09-20T13:01:47.3210000Z,20260920_130000_241_BQ_GPS_TO_VPS_NORMAL_DEV_4032,BQ,Quality-Threshold Baseline,1,0,0,0,0,107.321,transition_step_checkpoint,,,Pdr,B9-104,,,,,,,,,,,step=6,KB29
