utc_iso,session_id,harmony_version,harmony_profile,quality_gate,temporal_dwell,map_id_check,recovery_fsm,adaptive_guidance,elapsed_s,state,source,destination,latitude,longitude,gps_accuracy_m,gps_valid,pdr_steps,pdr_confidence,campus_x,campus_y,campus_z,map_x,map_y,map_z,outdoor_remaining_m,vps_attempt,vps_state,vps_scan_s,indoor_state,indoor_pose_source,indoor_confidence,indoor_steps,heading_deg,indoor_remaining_m,route_revision,wrong_way_count,recovery_count,active_source,gps_age_s,gps_reliability,gps_stable_s,vps_valid,vps_reliability,vps_stable_s,vps_confidence,vps_confidence_available,vps_map_id,vps_map_id_available,vps_map_matches,source_toggle_count,position_jump_m,heading_jump_deg,candidate_source,gps_threshold_passed,vps_threshold_passed,gps_dwell_gate_passed,vps_dwell_gate_passed,decision_reason,scenario_id
2026-09-19T09:43:42.0000000Z,20260919_094342_063_V5_GPS_TO_VPS_NORMAL_DEV_4393,V5,Full HARMONY,1,1,1,1,1,0.0,IndoorVps,Vps,B9-EXIT,10.7734833,106.6605072,4.759,0,1,0.0,163.16122465440858,1.9232519754144,20.113,163.4212246544086,0.2662519754144,17.821,,,,,Navigating,Vps,0.8684,,8.863,,0,0,0,Vps,,,,1,0.8812,,0.7062,1.0,B9_FLOOR_1_CAMPUS,1.0,1.0,2,0.0,0.0,,,,,,,KB20
2026-09-19T09:43:43.0030000Z,20260919_094342_063_V5_GPS_TO_VPS_NORMAL_DEV_4393,V5,Full HARMONY,1,1,1,1,1,1.003,IndoorVps,Vps,B9-EXIT,10.7734833,106.6605072,4.848,0,2,0.0,152.0682246544086,0.1032519754144,-3.803,163.2512246544086,-1.5147480245856,17.981,,,,,Navigating,Vps,0.8788,,7.425000000000011,,0,0,0,Vps,,,,1,0.8547,,0.7461,1.0,B9_FLOOR_1_CAMPUS,1.0,1.0,2,0.0,0.0,,,,,,,KB20
2026-09-19T09:43:44.0060000Z,20260919_094342_063_V5_GPS_TO_VPS_NORMAL_DEV_4393,V5,Full HARMONY,1,1,1,1,1,2.006,IndoorVps,Vps,B9-EXIT,10.7734833,106.6605072,5.109,0,2,0.0,152.06522465440858,0.1102519754144,-3.821,163.2592246544086,-1.5117480245856,17.963,,,,,Navigating,Vps,0.8882,,6.759999999999991,,0,0,0,Vps,,,,1,0.8584,,0.723,1.0,B9_FLOOR_1_CAMPUS,1.0,1.0,2,0.0,0.0,,,,,,,KB20
2026-09-19T09:43:45.0090000Z,20260919_094342_063_V5_GPS_TO_VPS_NORMAL_DEV_4393,V5,Full HARMONY,1,1,1,1,1,3.009,IndoorVps,Vps,B9-EXIT,10.7734833,106.6605072,5.476,0,2,0.0,152.0692246544086,0.1242519754143999,-3.826,163.2672246544086,-1.4977480245856,17.959,,,,,Navigating,Vps,0.8203,,7.065999999999974,,0,0,0,Vps,,,,1,0.8588,,0.7299,1.0,B9_FLOOR_1_CAMPUS,1.0,1.0,2,0.0,0.0,,,,,,,KB20
2026-09-19T09:43:46.0120000Z,20260919_094342_063_V5_GPS_TO_VPS_NORMAL_DEV_4393,V5,Full HARMONY,1,1,1,1,1,4.012,IndoorVps,Vps,B9-EXIT,10.7734833,106.6605072,5.294,0,2,0.0,152.07122465440858,0.1252519754143999,-3.824,163.2672246544086,-1.4967480245856,17.961,,,,,Navigating,Vps,0.8723,,8.810000000000002,,0,0,0,Vps,,,,1,0.9278,,0.6968,1.0,B9_FLOOR_1_CAMPUS,1.0,1.0,2,0.0,0.0,,,,,,,KB20
2026-09-19T09:43:47.0150000Z,20260919_094342_063_V5_GPS_TO_VPS_NORMAL_DEV_4393,V5,Full HARMONY,1,1,1,1,1,5.015,IndoorVps,Vps,B9-EXIT,10.7734833,106.6605072,5.041,0,3,0.0,152.7042246544086,-0.0667480245856,-3.499,163.6052246544086,-1.5897480245856,18.61,,,,,Navigating,Vps,0.837,,43.451999999999984,,0,0,0,Vps,,,,1,0.8536,,0.7236,1.0,B9_FLOOR_1_CAMPUS,1.0,1.0,2,0.0,0.0,,,,,,,KB20
2026-09-19T09:43:48.0180000Z,20260919_094342_063_V5_GPS_TO_VPS_NORMAL_DEV_4393,V5,Full HARMONY,1,1,1,1,1,6.018,IndoorVps,Vps,B9-EXIT,10.7734833,106.6605072,5.456,0,4,0.0,152.9952246544086,-0.0927480245856,-3.531,163.8642246544086,-1.6087480245855998,18.748,,,,,Navigating,Vps,0.8444,,62.63599999999998,,0,0,0,Vps,,,,1,0.8872,,0.6967,1.0,B9_FLOOR_1_CAMPUS,1.0,1.0,2,0.0,0.0,,,,,,,KB20
2026-09-19T09:43:49.0210000Z,20260919_094342_063_V5_GPS_TO_VPS_NORMAL_DEV_4393,V5,Full HARMONY,1,1,1,1,1,7.021,IndoorVps,Vps,B9-EXIT,10.7734833,106.6605072,5.425,0,1,0.0,163.16122465440858,1.9232519754144,20.113,163.4212246544086,0.2662519754144,17.821,,,,,Navigating,Vps,0.8385,,8.863,,0,0,0,Vps,,,,1,0.906,,0.7355,1.0,B9_FLOOR_1_CAMPUS,1.0,1.0,2,0.0,0.0,,,,,,,KB20
2026-09-19T09:43:50.0240000Z,20260919_094342_063_V5_GPS_TO_VPS_NORMAL_DEV_4393,V5,Full HARMONY,1,1,1,1,1,8.024,IndoorVps,Vps,B9-EXIT,10.7734833,106.6605072,5.188,0,2,0.0,152.0682246544086,0.1032519754144,-3.803,163.2512246544086,-1.5147480245856,17.981,,,,,Navigating,Vps,0.9054,,7.425000000000011,,0,0,0,Vps,,,,1,0.8929,,0.7913,1.0,B9_FLOOR_1_CAMPUS,1.0,1.0,2,0.0,0.0,,,,,,,KB20
2026-09-19T09:43:51.0270000Z,20260919_094342_063_V5_GPS_TO_VPS_NORMAL_DEV_4393,V5,Full HARMONY,1,1,1,1,1,9.027,IndoorVps,Vps,B9-EXIT,10.7734833,106.6605072,4.72,0,2,0.0,152.06522465440858,0.1102519754144,-3.821,163.2592246544086,-1.5117480245856,17.963,,,,,Navigating,Vps,0.928,,6.759999999999991,,0,0,0,Vps,,,,1,0.9305,,0.7407,1.0,B9_FLOOR_1_CAMPUS,1.0,1.0,2,0.0,0.0,,,,,,,KB20
